words,weak,strong,rank weak,freq weak,rank strong,freq strong,rank-ratio,freq-ratio
hard/unsolvable,hard,unsolvable,439,86817,na,na,#VALUE!,#VALUE!
hot/scalding,hot,scalding,722,54601,na,na,#VALUE!,#VALUE!
poor/destitute,poor,destitute,714,53820,17273,535,1.38366956124559,2.00258991140651
large/gigantic,large,gigantic,221,175611,7924,2287,1.5545521931814,1.88528555134647
cold/frosty,cold,frosty,888,44649,14957,748,1.22643152787685,1.77591013861105
soft/mushy,soft,mushy,1381,27970,18362,478,1.12372630447714,1.76726456975941
red/scarlet,red,scarlet,598,66217,10590,1432,1.24819477611907,1.66502648292384
happy/ecstatic,happy,ecstatic,748,51669,10656,1343,1.15369261396176,1.58515404363823
thick/impenetrable,thick,impenetrable,1734,21932,14154,812,0.911830098129047,1.43152220797027
hot/boiling,hot,boiling,722,54601,7819,2407,1.03461401556023,1.35572450646826
good/excellent,good,excellent,110,353973,2140,16094,1.28902108819097,1.34230613961618
happy/delighted,happy,delighted,748,51669,6710,2987,0.952820922304531,1.23799483370282
fat/obese,fat,obese,2357,24844,10580,1485,0.652126085174843,1.22349506692028
scared/petrified,scared,petrified,2990,10752,15561,680,0.716366314388818,1.19898034300351
funny/hilarious,funny,hilarious,1803,20399,10910,1310,0.78182902386594,1.19233758230314
cold/freezing,cold,freezing,888,44649,6463,3226,0.862021190144072,1.14114737342257
big/enormous,big,enormous,162,227169,2007,17482,1.09303235794485,1.11375795036647
old/ancient,old,ancient,152,236577,1832,19818,1.08108188138706,1.07691269618887
loud/deafening,loud,deafening,3120,10324,13698,890,0.642502567855436,1.06445798922692
calm/meditative,calm,meditative,4778,5309,18571,469,0.589589144582727,1.05383988262607
good/perfect,good,perfect,110,353973,1163,33456,1.02418702957022,1.02449612113352
quiet/inaudible,quiet,inaudible,1442,26732,6924,3712,0.681391798819946,0.857423484904831
ugly/hideous,ugly,hideous,3288,9267,11205,1291,0.532480052003067,0.856012920754693
palatable/delicious,palatable,delicious,15072,702,5042,4963,-0.475568044108375,0.849407163067518
small/tiny,small,tiny,203,185463,1320,29756,0.813077893292637,0.794682730499077
big/huge,big,huge,162,227169,914,42582,0.7514311811912,0.727123010653995
hungry/starving,hungry,starving,3208,9653,8782,1933,0.437359073156243,0.698430452161553
cheap/free,cheap,free,1944,18371,474,82090,-0.612917918916171,0.650157458496691
sleepy/asleep,sleepy,asleep,7551,2570,3106,10684,-0.385803018875485,0.618800756018041
special/unique,special,unique,521,75298,1739,21436,0.523461858703188,0.545639692629936
pretty/gorgeous,pretty,gorgeous,2482,13951,5525,4252,0.347530505194437,0.516012082863485
dark/black,dark,black,860,47565,254,150718,-0.52966473462363,0.500877621396773
bright/brilliant,bright,brilliant,1315,29780,3186,9493,0.384320018639336,0.496521212542723
wary/scared,wary,scared,6090,3506,2990,10752,-0.308946104308446,0.486677343951974
difficult/impossible,difficult,impossible,609,63947,1615,22233,0.423555234034246,0.458822106879739
pretty/beautiful,pretty,beautiful,2482,13951,995,40052,-0.396978696416985,0.458018868778593
understandable/articulate,understandable,articulate,7029,2737,12115,1067,0.2364298751569,0.409110377985654
tasty/delicious,tasty,delicious,8646,2043,5042,4963,-0.234212389857206,0.385475908564876
attractive/stunning,attractive,stunning,2835,11119,5103,4779,0.255272505103306,0.366728699709894
smart/brilliant,smart,brilliant,1869,19370,3186,9493,0.231636470086281,0.309726139845676
warm/hot,warm,hot,1363,28600,722,54601,-0.275958658265034,0.280834563614245
tough/impossible,tough,impossible,1015,39600,1615,22233,0.20170648441789,0.250697117939083
cool/cold,cool,cold,1458,26279,888,44649,-0.215344558203355,0.230202901567407
quiet/silent,quiet,silent,1442,26732,2179,16802,0.179291969862845,0.201670472078996
unhappy/miserable,unhappy,miserable,4770,5162,5853,3839,0.088860145074067,0.128599888090445
