WEAK,STRONG,"PICTURE 
% CORRECT",ACCEPTED
soft,mushy,100,1
good,excellent,100,1
funny,hilarious,100,1
cold,freezing,100,1
big,enormous,100,1
old,ancient,100,1
large,gigantic,100,1
wet,drenched,100,1
happy,ecstatic,97.5,1
hot,scalding,97.44,1
fat,obese,97.44,1
loud,deafening,97.44,1
angry,outraged,97.44,1
similar,identical,97.44,1
small,minuscule,97.44,1
scared,petrified,95,1
bad,atrocious,94.87,0
nearby,adjoining,94.87,0
messy,indecipherable,94.87,0
hard,unsolvable,92.5,0
thick,impenetrable,90,0
happy,delighted,89.74,0
sad,miserable,89.74,0
poor,destitute,87.5,0
easy,trivial,79.49,0
slow,glacial,71.79,0
