"","workerid","questiontype","num_correct","mean_rt"
"1","62c5f85ccf34c8d9c0650f6e","control",10,5096.18181818182
"2","62c5f85ccf34c8d9c0650f6e","deception",10,5525.90909090909
"3","62c5f85ccf34c8d9c0650f6e","emotion",9,5919.3
"4","62c5f85ccf34c8d9c0650f6e","infer_belief",10,6231.81818181818
"5","62c5f85ccf34c8d9c0650f6e","motivation",9,7176.5
"6","62c5f85ccf34c8d9c0650f6e","social_norm_violation",7,8703.3
"7","661c09a749790db73f8faba5","control",11,5775
"8","661c09a749790db73f8faba5","deception",10,6642.09090909091
"9","661c09a749790db73f8faba5","emotion",6,6670.1
"10","661c09a749790db73f8faba5","infer_belief",10,10644.4545454545
"11","661c09a749790db73f8faba5","motivation",10,7056.6
"12","661c09a749790db73f8faba5","social_norm_violation",6,9597
"13","66315563a848526fcfa7555b","control",9,7712.27272727273
"14","66315563a848526fcfa7555b","deception",10,6156.90909090909
"15","66315563a848526fcfa7555b","emotion",6,8433.2
"16","66315563a848526fcfa7555b","infer_belief",10,8124.54545454545
"17","66315563a848526fcfa7555b","motivation",10,7815.9
"18","66315563a848526fcfa7555b","social_norm_violation",5,10329
"19","66da162f5538535e93490441","control",10,5713.09090909091
"20","66da162f5538535e93490441","deception",10,9138.09090909091
"21","66da162f5538535e93490441","emotion",8,8615.2
"22","66da162f5538535e93490441","infer_belief",11,9070.27272727273
"23","66da162f5538535e93490441","motivation",8,9423.5
"24","66da162f5538535e93490441","social_norm_violation",7,11660
"25","676956116c1a3416bf7b2afe","control",10,5077.09090909091
"26","676956116c1a3416bf7b2afe","deception",10,4680.72727272727
"27","676956116c1a3416bf7b2afe","emotion",7,4776.2
"28","676956116c1a3416bf7b2afe","infer_belief",11,5868.09090909091
"29","676956116c1a3416bf7b2afe","motivation",10,5118.9
"30","676956116c1a3416bf7b2afe","social_norm_violation",7,5579.6
"31","695ea002344d7ca1605c747a","control",9,5427.18181818182
"32","695ea002344d7ca1605c747a","deception",10,6231.27272727273
"33","695ea002344d7ca1605c747a","emotion",8,6874.8
"34","695ea002344d7ca1605c747a","infer_belief",10,8500.54545454545
"35","695ea002344d7ca1605c747a","motivation",9,8718.5
"36","695ea002344d7ca1605c747a","social_norm_violation",5,9325.9
"37","6965bd850ce22095dd7a84ca","control",7,6541.36363636364
"38","6965bd850ce22095dd7a84ca","deception",7,11993.3636363636
"39","6965bd850ce22095dd7a84ca","emotion",7,11551.1
"40","6965bd850ce22095dd7a84ca","infer_belief",6,8419.18181818182
"41","6965bd850ce22095dd7a84ca","motivation",6,12150.2
"42","6965bd850ce22095dd7a84ca","social_norm_violation",4,8734.4
