participant,audio1,audio2,audio3
62c5f85ccf34c8d9c0650f6e,the word i choose is first,the word i choose is tied,is my decisions if it was something that could only be one item such as a colour or the appearance or number of items that is a chance the choice i picked otherwise if it was something that could be depending on the person how they will describe something could be one of two situations i picked what it would be most likely while having some percentage of a chance for the other option
69dfe696c433039b7add8013,word i choose is first,word i choose is tied,"reason i chose to put them in those positions is because out of the options that the person was given, to choose fat rather than obese would imply that it is the middle person as thin was also an option"
6a07687bad5809e8867bdffb,the word i choose is first,the word i chooses tied,because this person is not obese and they are not skinny that's why i choose two
69dbf4749918745fc7d8e820,the word i choose is first,the word i choose is tied,i chose to put the slider in the second position with the four stars because five stars to me would equal excellence while four would equal good
69f7b962446b32b08d58a1df,word i choose is last,the word i choose is,i went with the neutral pictures angry because the other angry picture was obviously outrage
69a6eb2bc679065ed1cecc51,the word i choose is first,word i choose is tied,i feel the word good can be used as 4 stars or 5 stars i think most people would probably use the word good for the middle version as the four stars which is why i gave it the more points however i do feel that the word good could also be used for five stars really good or good for most people instead of necessarily the word excellent i do think which is why i put the five stars at 16 points i still put some there because again i do think the word good could be used for five stars instead
6965bd850ce22095dd7a84ca,,,i chose the sliders in the positions i chose because it said fat and the children bigger man
6a199661a2f63c5bf9835b2e,the word i choose is first,the word i choose is tied,initially i would look at the pictures and see what i would think of these images so for example with a two-star 4 star 5 star bad good great and then i would look at what words were available and then i'd have to go to the closest that i would think and then look to see if there was any basically loss of what one would not be able to be used and then go from there so if there was an for 245 it would be like oh if there was a good it would be 4 star if it was great it would be five star but if there was nothing bad i would have to think about what i would actually use
6a05131f0ad03d07dd77178e,the word i choose is first,the word i choose is tied,there's a small chance that you would say good for 5 stars i would think that most people would say excellent given the choice for five stars but there's a small chance i think there's no chance that anybody would say good for two stars but most likely they would say it for 4 stars so that's why i chose the way i
69a8cff018bead25e4a5d848,the word i choose is first,the word i choose is tied,the reason i put the slider on number 2 because that looks a little bit like fat to me versus number three three looks more like obese i don't see anything that looks monstrous and thin looks like number one
6987875a0a8fa6ed9ef00726,the word i chooses first,the word i choose is tied,i decided to put the slider in position 100 on image one because image 3 shows a smile and dimples indicating happiness and image 2 shows a blank still face expressionless which i couldn't make out what the emotion was besides perhaps optimal and so image one has to be angry or outraged but he's indicating angry
69c1256faa88d6296c98d745,word i chooses first,,i used a process of elimination to determine which ones made the most sense basically i looked at all three and and all of the words and seeing which one fits better and if i'm sorry to assume their english isn't their native tongue i was a little bit more careful sometimes and i just used more odds on what it likely is but a little bit what they may be more familiar with
6a2482e9af72b55296872b0d,the word i choose is randomized,the word i choose is retro,
69e816058da70eddb5dbc3e1,where do choose a blocky,the word i choose is tied,upper east lighter in the position that i thought related to the word like this last one it was fat and it shows a thin medium and fat image and that's the word she chose to that's the same one that i also selected as 100 because it is very clearly a small medium large type of radio and the words give you more specific information to decide which image fits that word best
69dc76f0a77a620367d666ec,i choose is first,should i choose is tied,good
69f6484996726366cacd162c,the word i choose is randomized,the word i choose is tied,
69ba37faee13f176e7635323,the word i choose is randomized,the word i choose is retro,i thought they were most appropriate for those photos
69cc1fac2b52b1c4dd21cc7d,,,
69efe0b03221edd72686c185,the word i choose is block,the word i choose is,i chose rodney because considered for the adult
69b5c6bdbcf55371066f5e73,users first,,match the most looking at the choices comparing to the other words it seemed like the best fit in match
6a00b0ca46e3f2822d0349b6,word i choose is first,the word i choose is tied,
676956116c1a3416bf7b2afe,i choose is first,paradise shoes is tied,i decided to put my slider in that position because it's the only case that looks angry
6a0e2d716e90edf1ea83dce1,the word i choose is first,the word i choose is tied,it wasn't sure if it was image 2 or image 3 i think it's image 3 but somebody could possibly consider that to be monstrous so i didn't know
6a021dc98c730b8d3ce0deca,the word i choose is,the word i choose is tied,what does spiders in those positions because of the words that i was told and i thought i picked the best slider to go with the word
6a1b544246f12219f033d3c3,word i choose is first,the word i choose is tied,
69ed15278090fe4438301d5c,the word issues is blocky,where did i choose is tied,most represents the word on the participant shows the first fart
6a2222ff6e1036656b0d5d08,the word i chose is first,i chose is tied,does good can mean 4 stars or 5 stars but five stars could mean excellent so that's why i put that one as a lower rating than the four stars
69fce9e45d612732dd1ae4e2,the word i chose is first,the word i chose is tied,that i couldn't tell but for the most part the words that they used excluded the other two pictures so i mostly use process of elimination to get to the conclusion i did
6a232745f21e165e2b54ed58,the word i choose is first,the word i choose is tied,the reason i chose to put the sliders in that position is because 4 stars would mean good for 5 stars it would mean excellent
6a18b37c0157d881234ed29f,,,
