Word,Rank,Frequency
accurate,2754,11842
additive,15315,725
alive,1541,24184
ancient,1832,19818
anecdotal,10575,1424
angry,1717,21485
asleep,3106,10684
bad,283,134910
beautiful,995,40052
beige,11283,1276
big,162,227169
blue,845,47622
boring,4969,4922
brave,4909,5061
cloudy,10478,1420
cold,888,44649
communal,6494,3419
confident,2888,10831
crazy,1817,20345
creative,2067,17597
crunchy,14284,834
crimson,12498,1061
dark,860,47565
dead,727,55111
deafening,13698,890
definite,6887,2846
detailed,3150,10006
different,238,162411
double,2222,15233
down,7630,2436
dramatic,2137,16233
drenched,20000,400
rudimentary,12464,1036
dry,1570,23809
ecstatic,10656,1343
elderly,2930,10976
elegant,3979,6974
enormous,2007,17482
ephemeral,14603,777
erratic,10903,1297
even,11812,1124
excellent,2140,16094
etinct,9567,1673
etravagant,10672,1342
far,977,39967
fat,2357,14826
female,1403,27952
fictional,6444,3731
first,86,463566
five,300,125571
forty,3768,7692
four,251,150646
freezing,6463,3226
full,504,77547
funny,1803,20399
gaunt,16007,680
gigantic,7924,2287
gold,8711,1965
good,110,353973
green,893,44673
handsome,3876,7512
happy,748,51669
hazy,11867,1155
heavy,1008,39160
hilarious,10910,1310
hot,722,54601
huge,914,42582
identical,3862,7247
ill,2970,10446
illegal,2087,17258
incapable,7920,2283
intrinsic,7566,2761
introspective,18365,469
large,221,175611
rosy,10356,1425
left,772,50479
light,465,87427
literal,7855,2415
little,257,149658
loud,3120,10324
male,1539,24873
maroon,15195,733
masterful,15626,652
concentrated,10352,1443
minuscule,13668,863
molten,13692,879
monstrous,10587,1391
multiple,1962,19512
mushy,18362,478
nearby,2445,13820
neutral,4265,6331
new,88,435993
nocturnal,13728,867
nomadic,15565,687
null,15641,737
nutritious,13688,924
obese,10580,1485
odd,2762,11849
old,152,236577
one,51,768232
ongoing,2996,10721
optimal,7116,2995
orderly,7888,2280
orchestral,17634,538
outraged,7177,2681
panicked,18333,499
passive,5762,4107
petrified,15561,680
pink,2512,13849
pointy,19620,431
pregnant,2652,12329
prime,1677,22075
indigo,18728,462
purple,3931,7216
quaint,10552,1379
quiet,1442,26732
rainy,7607,2475
rare,1886,18978
red,598,66217
relentless,7147,2667
religious,887,46425
resilient,10906,1311
rhetorical,7626,2702
round,2962,10771
rural,2020,18665
sad,2164,16163
scalding,20000,400
scared,2990,10752
scattered,7951,2267
second,382,103621
sharp,2066,17403
similar,721,55901
si,426,90571
small,203,185463
soft,1381,27970
successful,1105,35459
sunny,4921,5117
technical,2081,17594
ten,841,46827
thankful,8591,2006
thin,1630,23194
third,585,67037
three,135,266744
tiny,1320,29756
two,80,511027
typed,20000,400
unsure,8152,2185
up,50,795534
vacant,6858,2925
veritable,13652,863
wealthy,3040,10054
wet,2491,13963
yellow,1675,22452
young,235,160011
youthful,7555,2456
extinct,9567,1673
six,90571,426
