"","workerid","motivation","control","deception","infer_belief","social_norm_violation","emotion","n_failed_total"
"1","69c093d33989aa791c4e8b2d",9,11,11,11,9,9,60
"2","6a1f0ef7a64d44c972d3a5f7",9,11,11,11,9,9,60
"3","6a2482e9af72b55296872b0d",9,11,11,11,9,9,60
"4","6a00dbcc626a780a8e5c07a4",9,10,11,11,9,9,59
"5","6a177f7ec67996448d9c7d41",8,11,11,10,7,7,54
"6","6a232745f21e165e2b54ed58",8,11,11,10,7,7,54
"7","69a8cff018bead25e4a5d848",2,1,1,1,1,0,6
"8","69f3d4f3fb7630947c56f1eb",2,1,1,1,1,0,6
"9","6a14434573bcee3f17b7f762",2,1,1,1,1,0,6
"10","6a1cb95bf369926ac77ea9e5",2,1,1,1,1,0,6
"11","6a15d5fb80117206e7200cf7",1,0,0,0,1,0,2
"12","6965bd850ce22095dd7a84ca",1,0,0,0,0,0,1
"13","69b3193cce0978ad6db9fe7c",0,0,0,0,1,0,1
"14","69ba37faee13f176e7635323",0,0,1,0,0,0,1
"15","69f7b962446b32b08d58a1df",0,0,0,0,1,0,1
"16","69f86a04fe802de5002bb70b",0,1,0,0,0,0,1
"17","6a150fcbc5238897c2c9408e",0,1,0,0,0,0,1
