"","workerid","questiontype","num_correct","mean_rt"
"1","62c5f85ccf34c8d9c0650f6e","control",10,5096.18181818182
"2","62c5f85ccf34c8d9c0650f6e","deception",10,5525.90909090909
"3","62c5f85ccf34c8d9c0650f6e","emotion",9,5919.3
"4","62c5f85ccf34c8d9c0650f6e","infer_belief",10,6231.81818181818
"5","62c5f85ccf34c8d9c0650f6e","motivation",9,7176.5
"6","62c5f85ccf34c8d9c0650f6e","social_norm_violation",7,8703.3
"7","65465c5bc5a014ec683d55cf","control",9,6568.54545454545
"8","65465c5bc5a014ec683d55cf","deception",8,12584.0909090909
"9","65465c5bc5a014ec683d55cf","emotion",8,11053.4
"10","65465c5bc5a014ec683d55cf","infer_belief",10,12583.2727272727
"11","65465c5bc5a014ec683d55cf","motivation",6,11559.8
"12","65465c5bc5a014ec683d55cf","social_norm_violation",5,15853.3
"13","661c09a749790db73f8faba5","control",11,5775
"14","661c09a749790db73f8faba5","deception",10,6642.09090909091
"15","661c09a749790db73f8faba5","emotion",6,6670.1
"16","661c09a749790db73f8faba5","infer_belief",10,10644.4545454545
"17","661c09a749790db73f8faba5","motivation",10,7056.6
"18","661c09a749790db73f8faba5","social_norm_violation",6,9597
"19","66315563a848526fcfa7555b","control",9,7712.27272727273
"20","66315563a848526fcfa7555b","deception",10,6156.90909090909
"21","66315563a848526fcfa7555b","emotion",6,8433.2
"22","66315563a848526fcfa7555b","infer_belief",10,8124.54545454545
"23","66315563a848526fcfa7555b","motivation",10,7815.9
"24","66315563a848526fcfa7555b","social_norm_violation",5,10329
"25","665795d82a087799023aaf0e","control",10,7556.45454545455
"26","665795d82a087799023aaf0e","deception",10,9017.63636363636
"27","665795d82a087799023aaf0e","emotion",9,9665.6
"28","665795d82a087799023aaf0e","infer_belief",11,10444.1818181818
"29","665795d82a087799023aaf0e","motivation",10,10481.2
"30","665795d82a087799023aaf0e","social_norm_violation",6,12473.7
"31","66da162f5538535e93490441","control",10,5713.09090909091
"32","66da162f5538535e93490441","deception",10,9138.09090909091
"33","66da162f5538535e93490441","emotion",8,8615.2
"34","66da162f5538535e93490441","infer_belief",11,9070.27272727273
"35","66da162f5538535e93490441","motivation",8,9423.5
"36","66da162f5538535e93490441","social_norm_violation",7,11660
"37","676956116c1a3416bf7b2afe","control",10,5077.09090909091
"38","676956116c1a3416bf7b2afe","deception",10,4680.72727272727
"39","676956116c1a3416bf7b2afe","emotion",7,4776.2
"40","676956116c1a3416bf7b2afe","infer_belief",11,5868.09090909091
"41","676956116c1a3416bf7b2afe","motivation",10,5118.9
"42","676956116c1a3416bf7b2afe","social_norm_violation",7,5579.6
