,participant,audio1,audio2,audio3
0,62c5f85ccf34c8d9c0650f6e,the word i choose is first,the word i choose is tied,is my decisions if it was something that could only be one item such as a colour or the appearance or number of items that is a chance the choice i picked otherwise if it was something that could be depending on the person how they will describe something could be one of two situations i picked what it would be most likely while having some percentage of a chance for the other option
1,69dfe696c433039b7add8013,word i choose is first,word i choose is tied,"reason i chose to put them in those positions is because out of the options that the person was given, to choose fat rather than obese would imply that it is the middle person as thin was also an option"
2,6a07687bad5809e8867bdffb,the word i choose is first,the word i chooses tied,because this person is not obese and they are not skinny that's why i choose two
3,69dbf4749918745fc7d8e820,the word i choose is first,the word i choose is tied,i chose to put the slider in the second position with the four stars because five stars to me would equal excellence while four would equal good
4,69f7b962446b32b08d58a1df,word i choose is last,the word i choose is,i went with the neutral pictures angry because the other angry picture was obviously outrage
7,6a199661a2f63c5bf9835b2e,the word i choose is first,the word i choose is tied,initially i would look at the pictures and see what i would think of these images so for example with a two-star 4 star 5 star bad good great and then i would look at what words were available and then i'd have to go to the closest that i would think and then look to see if there was any basically loss of what one would not be able to be used and then go from there so if there was an for 245 it would be like oh if there was a good it would be 4 star if it was great it would be five star but if there was nothing bad i would have to think about what i would actually use instead
8,6a05131f0ad03d07dd77178e,the word i choose is first,the word i choose is tied,there's a small chance that you would say good for 5 stars i would think that most people would say excellent given the choice for five stars but there's a small chance i think there's no chance that anybody would say good for two stars but most likely they would say it for 4 stars so that's why i chose the way I did
9,69a8cff018bead25e4a5d848,the word i choose is first,the word i choose is tied,the reason i put the slider on number 2 because that looks a little bit like fat to me versus number three three looks more like obese i don't see anything that looks monstrous and thin looks like number one
10,6987875a0a8fa6ed9ef00726,the word i chooses first,the word i choose is tied,i decided to put the slider in position 100 on image one because image 3 shows a smile and dimples indicating happiness and image 2 shows a blank still face expressionless which i couldn't make out what the emotion was besides perhaps optimal and so image one has to be angry or outraged but he's indicating angry END
11,69c1256faa88d6296c98d745,word i chooses first,tied,i used a process of elimination to determine which ones made the most sense basically i looked at all three and and all of the words and seeing which one fits better and if i'm sorry to assume if their english isn't their native tongue i was a little bit more careful sometimes and i just used more odds on what it likely is but a little bit what they may be more familiar with
13,69e816058da70eddb5dbc3e1,where do choose a blocky,the word i choose is tied,upper east lighter in the position that i thought related to the word like this last one it was fat and it shows a thin medium and fat image and that's the word she chose to that's the same one that i also selected as 100 because it is very clearly a small medium large type of radio and the words give you more specific information to decide which image fits that word best
14,69dc76f0a77a620367d666ec,i choose is first,should i choose is tied,"I guess I kinda thought that if it was the two star one she’d say bad, if it was 5 star she’d say excellent, so it had to be good"
15,69f6484996726366cacd162c,the word i choose is randomized,the word i choose is tied,
18,69efe0b03221edd72686c185,the word i choose is blocky,the word i choose is,i chose rodney because considered for the adult
19,69b5c6bdbcf55371066f5e73,first,tied,"they match the most, looking at the choices comparing to the other words it seemed like the best fit in match"
20,6a00b0ca46e3f2822d0349b6,word i choose is first,the word i choose is tied,"the third picture is the only one that looks angry to me, the first looks calm, the second looks happy or crazed, the last is angry"
21,676956116c1a3416bf7b2afe,i choose is first,the word i choose is tied,i decided to put my slider in that position because it's the only case that looks angry
22,6a0e2d716e90edf1ea83dce1,the word i choose is first,the word i choose is tied,I wasn't sure if it was image 2 or image 3 i think it's image 3 but somebody could possibly consider that to be monstrous so i didn't know
23,6a021dc98c730b8d3ce0deca,the word i choose is first,the word i choose is tied,I put the sliders in those positions because of the words that i was told and i thought i picked the best slider to go with the word
24,6a1b544246f12219f033d3c3,word i choose is first,the word i choose is tied,"well there’s three choices or two choices it could be – excellent or good. excellent would be 5 stars in my head, good would be 4 out of 5 stars or 80%. that’s why I chose that one I guess two for bad."
25,69ed15278090fe4438301d5c,the word issues is blocky,where did i choose is tied,most represents the word on the participant shows the first fart
26,6a2222ff6e1036656b0d5d08,the word i chose is first,i chose is tied,because good can mean 4 stars or 5 stars but five stars could mean excellent so that's why i put that one as a lower rating than the four stars
27,69fce9e45d612732dd1ae4e2,the word i chose is first,the word i chose is tied,I decided to put those sliders in those positions because they seemed like the best word to describe the images I saw. There were a few that I couldn’t tell but for the most part the words they used excluded the other images so I mostly used process of elimination to get to the conclusion I did
29,6a18b37c0157d881234ed29f,first,tied,~~~~~~~~ ERROR ~~~~~
30,6a1cb95bf369926ac77ea9e5,the word i choose is first,the word i choose is tied,i chose the one in the centre for the word fat because in the five choices of the words there's one that's monstrous which would be the bottom largest cartoon character of this man and then would be the top so it has to be fat which would be in the middle
31,6a0a0fd9f370053c3505dc0f,~~~~~~~~ ERROR ~~~~~,~~~~~~~~ ERROR ~~~~~,~~~~~~~~ ERROR ~~~~~
32,69c2f0033339865c279814ca,the word i choose is first,word i choose is tied,i put those sliders in those positions because number two is fat and number 3 is a bit fatter so there's a possible chance that could be either one of the two but i'm leaving more toward it being two so maybe i should have split it up a bit more i didn't pick one because it's only one where the guy is slim and not fat it's only 2 and 3 were the best choices that i made
33,6a150fcbc5238897c2c9408e,where did i choose is first,tied,of the options good would be a better representation for 4 stars while excellent will be better for five stars bad would be appropriate for two stars
34,699e3cc79b0d3d96b469ca49,the word i choose is first,word i choose is tied,i put the slider primarily at the four star image for the highest percentage 75% just in consideration that excellent is one of the other words this speaker also sounds like a native english speaker so i would expect that they understand difference between excellent and good and would have purposely chosen the word good to indicate that it was you know a good score a four star rating is good but it's not excellent like a five-star rating is
35,6a1f832105dd8c89b5e930ad,first,tied,put the sliders in these positions because i don't really understand i know she's like angry but the last one looks that the first one looks disgusted the last one looks like she could be upset
36,66da162f5538535e93490441,the word i choose is last,the word i choose is tied,however her face is set up so that she might be the kind of person who's anger sits underneath the surface so when she is really angry her face goes neutral rather than demonstrating the typical facial expression of anger
39,69d5632f4815bcc4cb7242bf,the word i would choose is block,i would choose this time,because i was 100% sure that that's what they meant
40,69f8db35f08d6c337883fcb4,first,tied,the word that was spoken match the picture in one way or another
41,6a0fdfd2db4241c9e5eca29a,the word i choose is first,the word i choose is tied,i put the sliders in the position number two she does look very angry but i gave number three four because that look that hollow look in the eyes makes me makes it feel like she's a little angry
42,69daf476f6bc0d990581aca6,the word i choose is first,the word i choose is tied,i chose to put it in on 100 because the other ones don't look they don't they don't follow the emotion that was expressed
43,66577b950cf252021eff76f8,first,tied,~~~~~~~~ ERROR ~~~~~
44,6a1a3e6d47ea4b557072cc4d,the word i choose is first,the word i choose is tied,so sometimes it was very direct in which there was no other word in the list that could have been used to describe an object like if it was just up and there was one arrow pointing up and no other ones and that was a clear answer however sometimes there was an option in which one word could have fit if there wasn't a better word there to describe that option relative to the other ones like if they're often was big or enormous and the images i would otherwise be described as you know big but giving it was the most extreme option i would have chosen it as enormous or if i would other END
45,6a3607f677860830aca5bdeb,the word i choose is first,the word i choose is tied,i put the slider on two at 100 because 3 is 5 stars and that would be excellent and one is two stars which is pretty bad and the word was good so that would be in the middle between two stars and 5 stars which is what number two is and that's 4 stars
46,69f86a04fe802de5002bb70b,first,the word i choose is tied,i chose to place the sliders how they are because given the fact that excellent is an option only describing the five stars and that word wasn't chosen it seems completely obvious and only logical that the word good would apply the four star option by deduction
47,6a2589e7b0645f2f7f1cc52c,the word i chose is first,tied,~~~~~~~~ ERROR ~~~~~
48,6a061f0e3198b87bb067f8ee,the word i choose is first,the word i choose is tied,~~~~~~~~ ERROR ~~~~~
49,6a14c84872f3851ab32e8c01,first,the word i chose is tied,good is a matter of opinion
50,661c09a749790db73f8faba5,the word i chose is first,where did i chose is tied,decided to put the sliders in the positions because i used the key context for every image that was used and i looked at the other keywords as well and decided what was the most fitting so like for this example 4 stars usually means good while five stars usually means excellent and perfect
51,69bdf2afe629d42bfc47997f,the word i choose is first,word i choose is tied,i chose to put it at 100% for the four star option because the five star is excellent and the two star is bad
52,6a023ad806e8158958e73b75,the word i choose is first,the word i choose is tied,"the words he chose is fast, if you look at the images and words there's also obese which i feel like would fit for number 3 so i chose number 2 for fat because that made more sense"
54,6a01e843af8198a220b44a18,the word i choose is first,i choose is tied,i chose to put the slider in that position because it seems to match the description of what the participant was saying
55,69cec122e3cb56c2e7000c6b,last,the word i choose is tied,
56,6a14ed7d826b3c0b54334269,first,tied,"the reason why I chose 75 and 25 is because they’re both fat and obese, they were very similar"
57,6a0dfefeb75ae8ac09c192c6,the word i chose is first,word i chose is tied,two stars isn't bad but it's not a really good 4 stars i would say great and then five stars would be excellent
58,69fcc8642de981c893eb6958,first,tied,4 star would be good but i thought maybe because of the language barrier they might have trouble distinguishing between good and excellent
59,69f0438cc141b27ed949788e,the word i choose is first,the word i choose is tied,because I think 2 is just OK i think that 3 to 4 in this case it's 4 is good and then i chose all or i didn't so i chose four cuz i think it's good i didn't choose five because in my mind 5 would be excellent and then one would be bad and then i think two is good
60,699cebf39bc275a312ffd51c,the word i choose is first,word i choose is tied,i decided to put the sliders in those positions because according to the words that we had to choose from i i tried to do like process of elimination there were a couple that i was uncertain of completely so i just kind of tried to do yeah the process of elimination
61,699b610e2ba4bade6f39121b,the word i choose is first,the word i choose is tied,well the only feasible options are bad good and excellent excellent would be 5 5 stars goods 4 stars and bad is 2 stars
62,695ea002344d7ca1605c747a,where did i choose is first,shoes is tied,the top one looks more angry than the others do
63,6a012d3c523e7311f4e55f61,word i choose is randomized,the word i choose is tied,what does the word being good i feel like 4 stars would be a good writing whereas i feel like two stars would be a low rating and i feel like three stars would be the highest rating which would be like an excellent rating so i feel like good is like 4 stars
64,69fb3314a5e95601464d1fea,the word i choose is first,the word i choose is tied,~~~~~~~~ ERROR ~~~~~
66,6a1ae40320c9511f890515f7,the word i choose is first,the word i choose is tied,i decided to put the sliders in the positions that i did because the one word that the participant partner had picked i felt best described the picture that i was trying to match
67,66315563a848526fcfa7555b,the word i chose is first,the word i chose is tied,one character is bigger than the other
69,69a0734d1d433d3694c8438f,where did i choose is first,retro,obese doesn't seem like a word that would be learnt very quickly in the english language so i would assume that a person unfamiliar would choose the fattest picture
70,6a0b756dd47d16a4c82f5589,the word i choose is first,the word i choose is tied,that seems to be the middle option of all the word options available because there's thin and obese on the other end also potentially monstrous i figured anyone who read all the options would probably use fat as the middle option for the pictures but i figured some people may not have read through all the options and may have selected fat for the fattest option from the pictures
71,69f3d4f3fb7630947c56f1eb,the word i choose is first,the word i choose is tied,one of the faces is like pretty neutral one of them is happy and there's basically only one negative one from like frown and eyebrows and stuff and so i put it all on that one
73,69d2a8765e19038ab2fc0f56,word i choose is first,i choose is tied,~~~~~~~~ ERROR ~~~~~
75,69c6ec3a92185003cf70ded5,the word i choose is first,the word i choose is tied,I think two stars would be bad and 5 stars would be excellent so i assumed two is good
76,6a1de36b3f5c6160ff6bf6a4,where do i choose his first,tied,those pictures where the closest correlation to the word spoken
77,69e957ad6c65e153a1c65ae2,the word i choose is last,the word i choose is tied,for this one in particular i chose to do the slider at 100 i'm just because it was the only one that had any type of similarity to angry whereas the other ones were happy or just a blank face
78,6980dfb784202dcf9736910f,word i choose is last,word i choose is tied,i chose to put them in that position because like i think five stars would be excellent and two stars would probably be closer to bad so 4 stars i thought with what was left would either be technical dramatic or good so as a result i think 4 stars being good makes the most sense but because i guess you could you know have a highly critical person say 5 stars is just good or you know not critical person at all say two stars it's bad or two stars is good that's why i had a little room for margin error
79,69d5c4d748bcaf8026c80573,the word i choose is first,the word i choose is stupid,i chose four star because five star would have been excellent and so 4 star is good
80,69864a705614c15728117b35,where do i choose is first,the word i choose is tied,"I think I put the sliders that I did because I mean there’s only happy neutral and mad, so I mean, yea that’s pretty like you can just see that essentially"
81,65465c5bc5a014ec683d55cf,the word i choose is first,the word i choose is tied,i chose this because the person speaking said good and looking at the three options there are two stars four stars then five stars and looking at the options of words excellent would be the best word i would think so i would say that that would be five stars and bad would be two stars so good seem like a good midway answer
82,6a00b4c7593a89490830c18c,the word i choose is first,the word i choose is tied,the reason why i chose fat and put 100 on it is because the question asked which image and there was the there was quiet thin monstrous obese or fat and he's a fat and he didn’t say obese or monstrous
83,6a15dfdb880253e5b6b917f3,the word i choose is 9th,word i choose is tied,because you said good not great
84,6a04948f1e40214a25ff2563,the word i choose is first,the word i choose is tied,i put my sliders in that position because both two and three could be considered fat but three can also be considered obese but it but because the word i was given by the recording was fat it could be two or three because both would be considered fat but three would also be considered obese
85,6a1582166cefcdcbed565058,the word i choose here is first,what a word i choose here is tied,i chose to put the slider in this one because this is the only face that looked angry
86,69b19e44edf4d70aee145c16,the word i choose is first,the word i choose is tied,i chose to put the sliders in those positions based on what the what the participants said and that it matched the words based on what the participant said
87,6a14c736578656591db6ea31,the word i chose is first,the word i chose is tied,i'm not really sure what this person considers to be fat as that's kind of an objective thing versus a word like obese which has a more concrete definition so that's why i came to the sliders like that because i'm not sure how they define that word
88,6a15d5fb80117206e7200cf7,word i choose is first,word i choose is tied,chose the last one because the first two photos do not look angry the first photo looks neutral the second photo looks happy or just in a better mood and then the third one looks displeased so i figured the third one would be most correct for the angry face or angry
89,69e599577d00fb31c54fb004,the word I choose is first,the word i choose is tied,"I think it was fairly clear what they were trying to convey from the words they chose and if we’re looking at this one specifically, it could’ve been three or four, just because five stars is great and 4 stars is good. it could’ve been either or"
90,699d45af20adaa6e1e89aa5a,word i choose is first,word i choose is tied,she is the only one that looks angry to me so that is why i decided to give that one the full 100
91,6a0dbb470d44c02c7ec444f0,the word i choose is first,the word i choose is tied,some of them had a responses that could go between the two of the selections however i tried to choose the one that was probably most apt but they was still a little bit of doubt left that i usually had a little bit more for the other option
92,697a495862ac67423e8418b8,the word i choose is randomized,the word i choose is tied,
