,itemId,itemType,speakerType,avgDerivationStrength
0,1,critical,native,89.1470588235294
1,1,critical,nonnative,68.3953488372093
2,2,critical,native,86.90243902439025
3,2,critical,nonnative,91.11111111111111
4,3,critical,native,70.075
5,3,critical,nonnative,42.75675675675676
6,4,critical,native,69.90322580645162
7,4,critical,nonnative,70.26086956521739
8,5,critical,native,54.075
9,5,critical,nonnative,53.21621621621622
10,6,critical,native,71.425
11,6,critical,nonnative,71.37837837837837
12,7,critical,native,57.333333333333336
13,7,critical,nonnative,45.71875
14,8,critical,native,68.53333333333333
15,8,critical,nonnative,69.375
16,9,critical,native,64.31428571428572
17,9,critical,nonnative,66.42857142857143
18,10,critical,native,68.10810810810811
19,10,critical,nonnative,55.725
20,11,critical,native,52.30434782608695
21,11,critical,nonnative,53.12903225806452
22,12,critical,native,42.2
23,12,critical,nonnative,65.84375
24,13,critical,native,5.421052631578948
25,13,critical,nonnative,3.8205128205128207
26,14,critical,native,70.6470588235294
27,14,critical,nonnative,71.32558139534883
28,15,critical,native,51.63157894736842
29,15,critical,nonnative,70.8974358974359
30,16,critical,native,55.370370370370374
31,16,critical,nonnative,44.88
32,17,unambiguous,native,99.8974358974359
33,17,unambiguous,nonnative,100.0
34,18,unambiguous,native,99.95454545454545
35,18,unambiguous,nonnative,100.0
36,19,unambiguous,native,99.15
37,19,unambiguous,nonnative,95.4054054054054
38,20,unambiguous,native,99.8529411764706
39,20,unambiguous,nonnative,97.55813953488372
40,21,unambiguous,native,100.0
41,21,unambiguous,nonnative,99.94594594594595
42,22,unambiguous,native,100.0
43,22,unambiguous,nonnative,99.95
44,23,unambiguous,native,98.48484848484848
45,23,unambiguous,nonnative,97.56818181818181
46,24,unambiguous,native,99.08333333333333
47,24,unambiguous,nonnative,97.63414634146342
48,25,unambiguous,native,100.0
49,25,unambiguous,nonnative,99.95
50,26,unambiguous,native,100.0
51,26,unambiguous,nonnative,99.95
52,27,unambiguous,native,99.94444444444444
53,27,unambiguous,nonnative,100.0
54,28,unambiguous,native,99.95121951219512
55,28,unambiguous,nonnative,100.0
56,29,unambiguous,native,99.94871794871794
57,29,unambiguous,nonnative,100.0
58,30,unambiguous,native,99.95555555555555
59,30,unambiguous,nonnative,100.0
60,31,unambiguous,native,100.0
61,31,unambiguous,nonnative,99.94594594594595
62,32,unambiguous,native,99.94736842105263
63,32,unambiguous,nonnative,100.0
