Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6a4fc6904bbdf9a678a67a24,69c093d33989aa791c4e8b2d,APPROVED,Not Applicable,2026-07-09T16:04:39.972000Z,2026-07-09T16:31:31.103000Z,2026-07-13T17:15:30.108000Z,2026-07-09T16:31:31.473133Z,1612,CM1QRWMW,171,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a4fc69b58e7db232931d93e,69ba37faee13f176e7635323,APPROVED,Not Applicable,2026-07-09T16:05:11.140000Z,2026-07-09T16:44:11.410000Z,2026-07-13T17:15:30.402000Z,2026-07-09T16:44:11.773321Z,2341,CM1QRWMW,369,55,Female,White,United States,United States,United States,English,No,Part-Time
6a4fc80f6d5076d1d50fb3a8,69fce9e45d612732dd1ae4e2,APPROVED,Not Applicable,2026-07-09T16:10:59.700000Z,2026-07-09T16:48:04.300000Z,2026-07-13T17:15:30.718000Z,2026-07-09T16:48:04.690488Z,2225,CM1QRWMW,608,39,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6a4fc8fb6a140cac0567a63c,69fb86296fb6f0919bf31075,APPROVED,Not Applicable,2026-07-09T16:15:13.581000Z,2026-07-09T17:04:15.645000Z,2026-07-13T17:15:31.065000Z,2026-07-09T17:04:16.029192Z,2943,CM1QRWMW,743,46,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a4fca2c2469a1513f867368,69fcc8642de981c893eb6958,APPROVED,Not Applicable,2026-07-09T16:20:01.558000Z,2026-07-09T17:02:56.222000Z,2026-07-13T17:15:31.353000Z,2026-07-09T17:02:56.550637Z,2575,CM1QRWMW,621,56,Female,Mixed,United States,United States,United States,English,No,Part-Time
6a4fcac1c1ea5c34140752bc,69cec122e3cb56c2e7000c6b,APPROVED,Not Applicable,2026-07-09T16:22:29.635000Z,2026-07-09T16:57:59.360000Z,2026-07-13T17:15:31.623000Z,2026-07-09T16:57:59.730489Z,2130,CM1QRWMW,625,34,Female,White,United States,United States,United States,English,No,Full-Time
6a4fcb5256dc92b9ca1c54e6,6a0fdfd2db4241c9e5eca29a,APPROVED,Not Applicable,2026-07-09T16:24:54.512000Z,2026-07-09T17:11:27.931000Z,2026-07-13T17:15:31.909000Z,2026-07-09T17:11:28.308203Z,2794,CM1QRWMW,161,34,Female,White,United States,United States,United States,English,No,Other
6a4fccbad7732a7d6b9e4f0d,69f674db81cb46678aae6391,APPROVED,Not Applicable,2026-07-09T16:30:59.587000Z,2026-07-09T17:01:50.208000Z,2026-07-13T17:15:32.193000Z,2026-07-09T17:01:50.584759Z,1851,CM1QRWMW,566,33,Female,Mixed,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a4fce48a97529e31f26172a,6a1de36b3f5c6160ff6bf6a4,APPROVED,Not Applicable,2026-07-09T16:45:06.012000Z,2026-07-09T17:16:04.881000Z,2026-07-13T17:15:32.493000Z,2026-07-09T17:16:05.223740Z,1859,CM1QRWMW,173,35,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6a4fcefe6ca0d667df760e2a,69d5632f4815bcc4cb7242bf,APPROVED,Not Applicable,2026-07-09T16:40:35.631000Z,2026-07-09T17:28:12.352000Z,2026-07-13T17:15:32.801000Z,2026-07-09T17:28:12.745518Z,2857,CM1QRWMW,400,42,Male,Mixed,United States,United States,United States,English,No,Full-Time
6a4fd0df6997bdacdb6f7f32,69a0734d1d433d3694c8438f,APPROVED,Not Applicable,2026-07-09T16:48:35.297000Z,2026-07-09T17:34:45.269000Z,2026-07-13T17:15:33.093000Z,2026-07-09T17:34:45.647259Z,2770,CM1QRWMW,503,46,Male,White,United States,United States,United States,English,No,Full-Time
6a4fd0e0a3f1db33dd79a0c0,6a2589e7b0645f2f7f1cc52c,APPROVED,Not Applicable,2026-07-09T16:48:41.200000Z,2026-07-09T17:31:50.218000Z,2026-07-13T17:15:33.394000Z,2026-07-09T17:31:50.575973Z,2590,CM1QRWMW,409,49,Female,White,United States,United States,United States,English,No,Full-Time
6a4fd372af55ef849a29f5bc,69f7b962446b32b08d58a1df,APPROVED,Not Applicable,2026-07-09T16:59:41.756000Z,2026-07-09T17:46:07.119000Z,2026-07-13T17:15:33.673000Z,2026-07-09T17:46:07.465236Z,2786,CM1QRWMW,218,71,Female,White,United States,United States,United States,English,No,Part-Time
6a4fd3eb4ff252f254ee439f,6a00dbcc626a780a8e5c07a4,APPROVED,Not Applicable,2026-07-09T17:01:33.697000Z,2026-07-09T17:16:43.994000Z,2026-07-13T17:15:33.969000Z,2026-07-09T17:16:44.369822Z,911,CM1QRWMW,133,27,Female,White,United States,United States,United States,English,Yes,Full-Time
6a4fd3fae77d0eb98a477725,6a0b756dd47d16a4c82f5589,APPROVED,Not Applicable,2026-07-09T17:01:54.834000Z,2026-07-09T17:43:49.604000Z,2026-07-13T17:15:34.306000Z,2026-07-09T17:43:49.951198Z,2515,CM1QRWMW,219,27,Male,White,United States,United States,United States,English,No,Full-Time
6a4fd563046986c023dbf1d6,6a14c84872f3851ab32e8c01,APPROVED,Not Applicable,2026-07-09T17:07:59.621000Z,2026-07-09T17:38:21.185000Z,2026-07-13T17:15:34.632000Z,2026-07-09T17:38:21.542232Z,1822,CM1QRWMW,470,41,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
6a4fd6b5665270db85c3b9c6,69a6eb2bc679065ed1cecc51,APPROVED,Not Applicable,2026-07-09T17:13:32.996000Z,2026-07-09T17:44:00.935000Z,2026-07-13T17:15:34.953000Z,2026-07-09T17:44:01.294880Z,1828,CM1QRWMW,148,39,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
