ItemID,Type,Weak,Strong,Antonym,lowFreq1,lowFreq2
1,critical,soft,mushy,crunchy,panicked,introspective
2,critical,good,excellent,bad,dramatic,technical
3,critical,funny,hilarious,boring,resilient,erratic
4,critical,cold,freezing,hot,fictional,communal
5,critical,big,enormous,tiny,rural,creative
6,critical,old,ancient,new,illegal,crazy
7,critical,large,gigantic,small,scattered,incapable
8,critical,wet,drenched,dry,ephemeral,droll
9,critical,happy,ecstatic,sad,anecdotal,extravagant
10,critical,hot,scalding,cold,outraged,gaunt
11,critical,fat,obese,thin,monstrous,quaint
12,critical,loud,deafening,quiet,nocturnal,molten
13,critical,angry,outraged,happy,relentless,optimal
14,critical,similar,identical,different,handsome,elegant
15,critical,small,minuscule,large,nutritious,veritable
16,critical,scared,petrified,brave,nomadic,masterful
17,unambiguous,one,two,three,forty,null
18,unambiguous,green,blue,purple,maroon,pink
19,unambiguous,first,second,third,middling,orderly
20,unambiguous,typed,additive,heavy,religious,beautiful
21,unambiguous,up,down,left,rhetorical,intrinsic
22,unambiguous,sunny,cloudy,rainy,definite,vacant
23,unambiguous,full,nearby,rare,pregnant,confident
24,unambiguous,far,light,extinct,ill,ongoing
25,ambiguous,red,yellow,beige,purple,cyan
26,ambiguous,green,gold,lavender,wealthy,dark
27,ambiguous,dead,alive,neutral,accurate,detailed
28,ambiguous,female,male,unsure,youthful,thankful
29,ambiguous,young,elderly,seventy,successful,double
30,ambiguous,four,six,five,multiple,literal
31,ambiguous,round,pointy,sharp,hexagonal,tied
32,ambiguous,even,odd,prime,passive,cloudy
