debug,,,0,
test,,,oddity,
TYPE,WORD1,WORD2,SUBJECT,EXPECTED
weakstrong,bad,atrocious,It,NOT
weakstrong,brief,ephemeral,It,NOT
weakstrong,decent,impeccable,It,NOT
weakstrong,easy,trivial,It,NOT
weakstrong,fancy,opulent,It,NOT
weakstrong,heavy,onerous,It,NOT
weakstrong,high,exorbitant,It,NOT
weakstrong,angry,outraged,Charlie,NOT
weakstrong,nearby,adjoining,It,NOT
weakstrong,plain,spartan,It,NOT
weakstrong,sad,despondent,Charlie,NOT
weakstrong,similar,identical,They,NOT
weakstrong,slow,glacial,It,NOT
weakstrong,small,miniscule,It,NOT
weakstrong,messy,indecipherable,It,NOT
weakstrong,wet,drenched,It,NOT
weakstrong,hard,difficult,It,NOT
weakstrong,sad,miserable,James,NOT
strongweak,atrocious,bad,It,ODD
strongweak,ephemeral,brief,It,ODD
strongweak,impeccable,decent,It,ODD
strongweak,trivial,easy,It,ODD
strongweak,opulent,fancy,It,ODD
strongweak,onerous,heavy,It,ODD
strongweak,exorbitant,high,It,ODD
strongweak,outraged,angry,Charlie,ODD
strongweak,adjoining,nearby,It,ODD
strongweak,spartan,plain,It,ODD
strongweak,despondent,sad,Charlie,ODD
strongweak,identical,similar,They,ODD
strongweak,glacial,slow,It,ODD
strongweak,miniscule,small,It,ODD
strongweak,indecipherable,messy,It,ODD
strongweak,drenched,wet,It,ODD
strongweak,difficult,hard,It,ODD
strongweak,miserable,sad,James,ODD
filler,smart,creative,Jeff,NOT
filler,tall,handsome,Zack,NOT
filler,new,used,It,ODD
filler,pleasant,charming,She,NOT
filler,open,closed,It,ODD
filler,wet,dry,It,ODD
filler,expensive,cheap,It,ODD
