,scalars,cleanedAnswer,,,,ACCEPTED
0,bad-atrocious,27.0909090909091,1,atrocious-bad,61.0909090909091,1
1,brief-ephemeral,49.8181818181818,0,ephemeral-brief,68.8181818181818,1
2,decent-impeccable,62.7272727272727,0,impeccable-decent,66.5454545454545,1
3,easy-trivial,35.4545454545455,1,trivial-easy,62,1
4,fancy-opulent,24.7272727272727,1,opulent-fancy,49.3636363636364,0
5,heavy-onerous,42.0909090909091,0,onerous-heavy,59.3636363636364,0
6,high-exorbitant,37,1,exorbitant-high,56.7272727272727,0
7,angry-outraged,20.4545454545455,1,outraged-angry,74.9090909090909,1
8,nearby-adjoining,36.7272727272727,1,adjoining-nearby,70.7272727272727,1
9,plain-spartan,43.5454545454545,0,spartan-plain,55.6363636363636,0
10,sad-despondent,45.0909090909091,0,despondent-sad,50.4545454545455,0
11,similar-identical,29.5454545454545,1,identical-similar,72.2727272727273,1
12,slow-glacial,42,0,glacial-slow,55,0
13,small-miniscule,33.7272727272727,1,miniscule-small,74.4545454545455,1
14,messy-indecipherable,23.8181818181818,1,indecipherable-messy,62.9090909090909,1
15,wet-drenched,24.1818181818182,1,drenched-wet,63.0909090909091,1
16,hard-difficult,55.3636363636364,0,difficult-hard,68,1
17,sad-miserable,21.7272727272727,1,miserable-sad,63,1
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
