weak,strong,correct,prev_study
bad,atrocious,0.948717948717949,0
big,enormous,1,1
fat,obese,0.974358974358974,1
good,excellent,1,1
hot,scalding,0.974358974358974,1
low,depleted,0.974358974358974,1
angry,outraged,0.974358974358974,0
nearby,adjoining,0.948717948717949,0
old,ancient,1,1
rare,extinct,1,1
small,miniscule,0.974358974358974,0
wet,drenched,1,0
cold,freezing,1,1
funny,hilarious,1,1
smart,brilliant,1,1
soft,mushy,1,1
happy,delighted,0.897435897435897,1
,,,
,,,
bad,atrocious,,
big,enormous,,
fat,obese,,
good,excellent,,
,,,
hot,scalding,,
low,depleted,,
angry,outraged,,
nearby,adjoining,,
,,,
old,ancient,,
rare,extinct,,
small,miniscule,,
wet,drenched,,
,,,
cold,freezing,,
funny,hilarious,,
smart,brilliant,,
soft,mushy,,
