weakscale,strongscale,cleanedAnswer,,,,,,ACCEPTED
bad,atrocious,0.108108108108108,1,atrocious,bad,0.891891891891892,1,1
brief,ephemeral,0.486486486486487,0,ephemeral,brief,0.675675675675676,1,0
decent,impeccable,0.027027027027027,1,impeccable,decent,0.621621621621622,1,1
easy,trivial,0.162162162162162,1,trivial,easy,0.405405405405405,0,0
fancy,opulent,0.216216216216216,1,opulent,fancy,0.783783783783784,1,1
heavy,onerous,0.108108108108108,1,onerous,heavy,0.45945945945946,0,0
high,exorbitant,0,1,exorbitant,high,0.756756756756757,1,1
angry,outraged,0.108108108108108,1,outraged,angry,0.810810810810811,1,1
nearby,adjoining,0.108108108108108,1,adjoining,nearby,0.918918918918919,1,1
plain,spartan,0.216216216216216,1,spartan,plain,0.405405405405405,0,0
sad,despondent,0.162162162162162,1,despondent,sad,0.675675675675676,1,1
similar,identical,0.108108108108108,1,identical,similar,0.918918918918919,1,1
slow,glacial,0.216216216216216,1,glacial,slow,0.567567567567568,0,0
small,miniscule,0.189189189189189,1,miniscule,small,0.891891891891892,1,1
messy,indecipherable,0.027027027027027,1,indecipherable,messy,0.27027027027027,0,0
wet,drenched,0.162162162162162,1,drenched,wet,0.891891891891892,1,1
hard,difficult,0.756756756756757,0,difficult,hard,0.837837837837838,1,0
sad,miserable,0.189189189189189,1,miserable,sad,0.486486486486487,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,atrocious-bad,,,,,,
,,outraged-angry,,,,,,
,,adjoining-nearby,,,,,,
,,identical-similar,,,,,,
,,miniscule-small,,,,,,
,,drenched-wet,,,,,,
