weakscale,strongscale,cleanedAnswer,,,,,,ACCEPTED
bad,atrocious,0.09375,1,atrocious,bad,0.875,1,1
brief,ephemeral,0.46875,0,ephemeral,brief,0.65625,1,0
decent,impeccable,0.03125,1,impeccable,decent,0.625,1,1
easy,trivial,0.125,1,trivial,easy,0.40625,0,0
fancy,opulent,0.1875,1,opulent,fancy,0.78125,1,1
heavy,onerous,0.09375,1,onerous,heavy,0.46875,0,0
high,exorbitant,0,1,exorbitant,high,0.71875,1,1
angry,outraged,0.125,1,outraged,angry,0.84375,1,1
nearby,adjoining,0.09375,1,adjoining,nearby,0.9375,1,1
plain,spartan,0.21875,1,spartan,plain,0.46875,0,0
sad,despondent,0.15625,1,despondent,sad,0.6875,1,1
similar,identical,0.09375,1,identical,similar,0.9375,1,1
slow,glacial,0.15625,1,glacial,slow,0.5625,0,0
small,miniscule,0.15625,1,miniscule,small,0.875,1,1
messy,indecipherable,0.03125,1,indecipherable,messy,0.25,0,0
wet,drenched,0.15625,1,drenched,wet,0.90625,1,1
hard,difficult,0.71875,0,difficult,hard,0.875,1,0
sad,miserable,0.1875,1,miserable,sad,0.5,0,0
