,scalars,cleanedAnswer,,,,,ACCEPTED
0,bad-atrocious,29.6470588235294,1,atrocious-bad,61.5882352941176,1,1
1,brief-ephemeral,50.4117647058824,0,ephemeral-brief,63.9411764705882,1,0
2,decent-impeccable,52.2352941176471,0,impeccable-decent,69.9411764705882,1,0
3,easy-trivial,42.4705882352941,0,trivial-easy,55.5882352941176,0,0
4,fancy-opulent,30.5882352941176,1,opulent-fancy,50.4117647058824,0,0
5,heavy-onerous,47,0,onerous-heavy,64.4117647058823,1,0
6,high-exorbitant,40.4705882352941,0,exorbitant-high,64.7647058823529,1,0
7,angry-outraged,27.6470588235294,1,outraged-angry,66.8235294117647,1,1
8,nearby-adjoining,37.1176470588235,1,adjoining-nearby,73.4117647058824,1,1
9,plain-spartan,38.9411764705882,1,spartan-plain,60.2941176470588,1,1
10,sad-despondent,36.8235294117647,1,despondent-sad,51.6470588235294,0,0
11,similar-identical,40.1176470588235,0,identical-similar,75.7647058823529,1,0
12,slow-glacial,48.8235294117647,0,glacial-slow,64,1,0
13,small-miniscule,34.7058823529412,1,miniscule-small,76.1176470588235,1,1
14,messy-indecipherable,32.8235294117647,1,indecipherable-messy,61,1,1
15,wet-drenched,38.3529411764706,1,drenched-wet,69.6470588235294,1,1
16,hard-difficult,52.6470588235294,0,difficult-hard,68.4705882352941,1,0
17,sad-miserable,22.2941176470588,1,miserable-sad,54.4705882352941,0,0
