weakscale,strongscale,correct,strongscale,weakscale,correct,AVG
hard,difficult,0.295454545454545,difficult,hard,0.840909090909091,0.568181818181818
plain,spartan,0.75,spartan,plain,0.409090909090909,0.579545454545455
brief,ephemeral,0.5,ephemeral,brief,0.704545454545455,0.602272727272727
easy,trivial,0.75,trivial,easy,0.477272727272727,0.613636363636364
messy,indecipherable,0.886363636363636,indecipherable,messy,0.340909090909091,0.613636363636364
heavy,onerous,0.840909090909091,onerous,heavy,0.477272727272727,0.659090909090909
slow,glacial,0.727272727272727,glacial,slow,0.613636363636364,0.670454545454545
sad,miserable,0.795454545454545,miserable,sad,0.545454545454545,0.670454545454545
sad,despondent,0.795454545454545,despondent,sad,0.681818181818182,0.738636363636364
fancy,opulent,0.704545454545455,opulent,fancy,0.795454545454545,0.75
decent,impeccable,0.909090909090909,impeccable,decent,0.659090909090909,0.784090909090909
angry,outraged,0.840909090909091,outraged,angry,0.795454545454545,0.818181818181818
high,exorbitant,0.909090909090909,exorbitant,high,0.75,0.829545454545455
small,miniscule,0.772727272727273,miniscule,small,0.886363636363636,0.829545454545455
wet,drenched,0.772727272727273,drenched,wet,0.886363636363636,0.829545454545455
bad,atrocious,0.840909090909091,atrocious,bad,0.886363636363636,0.863636363636364
nearby,adjoining,0.863636363636364,adjoining,nearby,0.886363636363636,0.875
similar,identical,0.863636363636364,identical,similar,0.886363636363636,0.875
