,scalars,cleanedAnswer
0,bad-atrocious,27.09090909090909
1,brief-ephemeral,49.81818181818182
2,decent-impeccable,62.72727272727273
3,easy-trivial,35.45454545454545
4,fancy-opulent,24.727272727272727
5,heavy-onerous,42.09090909090909
6,high-exorbitant,37.0
7,angry-outraged,20.454545454545453
8,nearby-adjoining,36.72727272727273
9,plain-spartan,43.54545454545455
10,sad-despondent,45.09090909090909
11,similar-identical,29.545454545454547
12,slow-glacial,42.0
13,small-miniscule,33.72727272727273
14,messy-indecipherable,23.818181818181817
15,wet-drenched,24.181818181818183
16,hard-difficult,55.36363636363637
17,sad-miserable,21.727272727272727
18,atrocious-bad,61.09090909090909
19,ephemeral-brief,68.81818181818181
20,impeccable-decent,66.54545454545455
21,trivial-easy,62.0
22,opulent-fancy,49.36363636363637
23,onerous-heavy,59.36363636363637
24,exorbitant-high,56.72727272727273
25,outraged-angry,74.9090909090909
26,adjoining-nearby,70.72727272727273
27,spartan-plain,55.63636363636363
28,despondent-sad,50.45454545454545
29,identical-similar,72.27272727272727
30,glacial-slow,55.0
31,miniscule-small,74.45454545454545
32,indecipherable-messy,62.90909090909091
33,drenched-wet,63.09090909090909
34,difficult-hard,68.0
35,miserable-sad,63.0
36,smart-creative,48.63636363636363
37,tall-handsome,31.181818181818183
38,new-used,92.54545454545455
39,pleasant-charming,35.45454545454545
40,open-closed,81.36363636363636
41,wet-dry,90.54545454545455
42,expensive-cheap,73.27272727272727
