weak,strong,correct
bad,atrocious,0.9487179487179487
big,enormous,1.0
brief,ephemeral,0.6410256410256411
decent,impeccable,0.9743589743589743
easy,trivial,0.7948717948717948
fancy,opulent,0.9487179487179487
fat,obese,0.9743589743589743
good,excellent,1.0
happy,jubilant,0.9743589743589743
heavy,onerous,0.6153846153846154
high,exorbitant,1.0
hot,scalding,0.9743589743589743
loud,deafening,0.9743589743589743
low,depleted,0.9743589743589743
angry,outraged,0.9743589743589743
nearby,adjoining,0.9487179487179487
old,ancient,1.0
plain,spartan,0.7435897435897436
quiet,imperceivable,0.8974358974358975
rare,extinct,1.0
sad,despondent,0.8205128205128205
similar,identical,0.9743589743589743
slow,glacial,0.717948717948718
small,miniscule,0.9743589743589743
messy,indecipherable,0.9487179487179487
wet,drenched,1.0
hard,difficult,0.7435897435897436
cold,freezing,1.0
sad,miserable,0.8974358974358975
funny,hilarious,1.0
smart,brilliant,1.0
soft,mushy,1.0
happy,delighted,0.8974358974358975
third,second-filler,1.0
one,two-filler,1.0
green,purple-filler,1.0
