,participantId,itemId,itemType,weak,strong,antonym,lowfreq1,lowfreq2,derivationStrength,strongRating,antonymRating,speakerType,speakerGender,freqRatio,ToM
0,19970528,1,critical,soft,mushy,crunchy,panicked,introspective,83,17,0,native,male,1.76726456975941,90
1,Radion,1,critical,soft,mushy,crunchy,panicked,introspective,100,0,0,nonnative,male,1.76726456975941,90
2,19970528,2,critical,good,excellent,bad,dramatic,technical,95,0,5,native,male,1.34230613961618,90
3,Radion,2,critical,good,excellent,bad,dramatic,technical,90,10,0,native,male,1.34230613961618,90
4,19970528,3,critical,funny,hilarious,boring,resilient,erratic,97,3,0,nonnative,male,1.19233758230314,90
5,Radion,3,critical,funny,hilarious,boring,resilient,erratic,35,65,0,native,male,1.19233758230314,90
6,19970528,4,critical,cold,freezing,hot,fictional,communal,100,0,0,nonnative,male,1.14114737342257,90
7,Radion,4,critical,cold,freezing,hot,fictional,communal,90,10,0,native,female,1.14114737342257,90
8,19970528,5,critical,big,enormous,tiny,rural,creative,97,3,0,nonnative,male,1.11375795036647,90
9,Radion,5,critical,big,enormous,tiny,rural,creative,60,40,0,nonnative,female,1.11375795036647,90
10,19970528,6,critical,old,ancient,new,illegal,crazy,89,11,0,native,female,1.07691269618887,90
11,Radion,6,critical,old,ancient,new,illegal,crazy,0,100,0,native,female,1.07691269618887,90
12,19970528,7,critical,large,gigantic,little,scattered,incapable,94,6,0,native,female,1.88528555134647,90
13,Radion,7,critical,large,gigantic,little,scattered,incapable,60,40,0,nonnative,male,1.88528555134647,90
14,19970528,8,critical,wet,drenched,dry,ephemeral,droll,69,31,0,nonnative,female,2,90
15,Radion,8,critical,wet,drenched,dry,ephemeral,droll,70,30,0,nonnative,female,2,90
16,19970528,9,critical,happy,ecstatic,sad,anecdotal,extravagant,95,5,0,native,female,1.58515404363823,90
17,Radion,9,critical,happy,ecstatic,sad,anecdotal,extravagant,50,50,0,native,male,1.58515404363823,90
18,19970528,10,critical,hot,scalding,cold,outraged,gaunt,92,8,0,nonnative,male,2,90
19,Radion,10,critical,hot,scalding,cold,outraged,gaunt,60,40,0,native,female,2,90
20,19970528,11,critical,fat,obese,thin,monstrous,quaint,57,43,0,nonnative,female,0.999297542132492,90
21,Radion,11,critical,fat,obese,thin,monstrous,quaint,70,30,0,nonnative,female,0.999297542132492,90
22,19970528,12,critical,loud,deafening,quiet,nocturnal,molten,74,26,0,nonnative,female,1.06445798922692,90
23,Radion,12,critical,loud,deafening,quiet,nocturnal,molten,70,30,0,nonnative,male,1.06445798922692,90
24,19970528,13,critical,angry,outraged,happy,relentless,optimal,8,92,,native,male,0.903838544037042,90
25,Radion,13,critical,angry,outraged,happy,relentless,optimal,0,100,,native,female,0.903838544037042,90
26,19970528,14,critical,similar,identical,different,handsome,elegant,88,12,0,native,male,0.88726131563071,90
27,Radion,14,critical,similar,identical,different,handsome,elegant,95,5,0,nonnative,male,0.88726131563071,90
28,19970528,15,critical,small,minuscule,huge,nutritious,veritable,99,1,0,native,female,2.33224648482021,90
29,Radion,15,critical,small,minuscule,huge,nutritious,veritable,80,0,20,native,male,2.33224648482021,90
30,19970528,16,critical,scared,petrified,brave,nomadic,masterful,64,36,0,nonnative,female,1.19898034300351,90
31,Radion,16,critical,scared,petrified,brave,nomadic,masterful,80,20,0,nonnative,female,1.19898034300351,90
32,19970528,17,unambiguous,one,two,three,forty,,100,0,0,native,male,0.177048546749556,90
