,itemId,itemType,speakerType,derivationStrength,strongRating
0,1,critical,native,89.1470588235294,10.705882352941176
1,1,critical,nonnative,69.11363636363636,29.886363636363637
2,2,critical,native,87.21428571428571,12.761904761904763
3,2,critical,nonnative,91.11111111111111,8.833333333333334
4,3,critical,native,70.8048780487805,29.170731707317074
5,3,critical,nonnative,42.75675675675676,57.108108108108105
6,4,critical,native,70.84375,29.125
7,4,critical,nonnative,70.26086956521739,29.73913043478261
8,5,critical,native,55.19512195121951,44.80487804878049
9,5,critical,nonnative,53.21621621621622,46.486486486486484
10,6,critical,native,71.425,28.425
11,6,critical,nonnative,72.13157894736842,27.42105263157895
12,7,critical,native,57.333333333333336,42.62222222222222
13,7,critical,nonnative,44.333333333333336,55.666666666666664
14,8,critical,native,69.21739130434783,30.67391304347826
15,8,critical,nonnative,69.375,30.59375
16,9,critical,native,64.31428571428572,35.65714285714286
17,9,critical,nonnative,64.88372093023256,35.116279069767444
18,10,critical,native,68.94736842105263,31.026315789473685
19,10,critical,nonnative,55.725,41.775
20,11,critical,native,51.191489361702125,48.787234042553195
21,11,critical,nonnative,53.12903225806452,46.74193548387097
22,12,critical,native,42.2,57.8
23,12,critical,nonnative,63.84848484848485,36.0
24,13,critical,native,5.421052631578948,94.28947368421052
25,13,critical,nonnative,3.725,95.425
26,14,critical,native,71.48571428571428,28.514285714285716
27,14,critical,nonnative,71.32558139534883,26.325581395348838
28,15,critical,native,51.63157894736842,48.36842105263158
29,15,critical,nonnative,69.125,30.85
30,16,critical,native,55.370370370370374,44.25925925925926
31,16,critical,nonnative,44.0,55.96078431372549
32,17,unambiguous,native,99.8974358974359,0.05128205128205128
33,17,unambiguous,nonnative,100.0,0.0
34,18,unambiguous,native,99.95454545454545,0.022727272727272728
35,18,unambiguous,nonnative,100.0,0.0
36,19,unambiguous,native,99.15,0.425
37,19,unambiguous,nonnative,95.52631578947368,0.2631578947368421
38,20,unambiguous,native,99.85714285714286,0.11428571428571428
39,20,unambiguous,nonnative,97.55813953488372,2.372093023255814
40,21,unambiguous,native,100.0,0.0
41,21,unambiguous,nonnative,99.94594594594595,0.02702702702702703
42,22,unambiguous,native,100.0,0.0
43,22,unambiguous,nonnative,99.95121951219512,0.024390243902439025
44,23,unambiguous,native,98.52941176470588,0.0
45,23,unambiguous,nonnative,97.56818181818181,0.022727272727272728
46,24,unambiguous,native,99.10810810810811,0.8918918918918919
47,24,unambiguous,nonnative,97.63414634146342,2.2195121951219514
48,25,unambiguous,native,100.0,0.0
49,25,unambiguous,nonnative,99.95121951219512,0.024390243902439025
50,26,unambiguous,native,100.0,0.0
51,26,unambiguous,nonnative,99.95121951219512,0.024390243902439025
52,27,unambiguous,native,99.94594594594595,0.02702702702702703
53,27,unambiguous,nonnative,100.0,0.0
54,28,unambiguous,native,99.95238095238095,0.023809523809523808
55,28,unambiguous,nonnative,100.0,0.0
56,29,unambiguous,native,99.94871794871794,0.02564102564102564
57,29,unambiguous,nonnative,100.0,0.0
58,30,unambiguous,native,99.95555555555555,0.022222222222222223
59,30,unambiguous,nonnative,100.0,0.0
60,31,unambiguous,native,100.0,0.0
61,31,unambiguous,nonnative,99.94594594594595,0.02702702702702703
62,32,unambiguous,native,99.94871794871794,0.02564102564102564
63,32,unambiguous,nonnative,100.0,0.0
