alpha,beta,r_val
1.1,1e-05,-0.3782461831046099
1.1,3e-05,-0.3782461860621842
1.1,5e-05,-0.3782461890197601
1.1,7e-05,-0.37824619197733367
1.1,9e-05,-0.37824619493490735
1.1,0.00011,-0.37824619789248154
1.1,0.00013,-0.37824620085005556
1.1,0.00015,-0.3782462038076291
1.1,0.00017,-0.37824620676520354
1.1,0.00019,-0.3782462097227763
1.3,1e-05,-0.3929798960849332
1.3,3e-05,-0.39297989971387864
1.3,5e-05,-0.39297990334282357
1.3,7e-05,-0.3929799069717688
1.3,9e-05,-0.39297991060071463
1.3,0.00011,-0.3929799142296572
1.3,0.00013,-0.39297991785860387
1.3,0.00015,-0.39297992148755145
1.3,0.00017,-0.3929799251164932
1.3,0.00019,-0.3929799287454386
1.5,1e-05,-0.4034597120894546
1.5,3e-05,-0.40345971634774364
1.5,5e-05,-0.40345972060603597
1.5,7e-05,-0.4034597248643311
1.5,9e-05,-0.4034597291226201
1.5,0.00011,-0.4034597333809136
1.5,0.00013,-0.403459737639205
1.5,0.00015,-0.4034597418974956
1.5,0.00017,-0.40345974615578534
1.5,0.00019,-0.40345975041407556
