,itemId,weak_freq,strong_freq,p(weak|weak),p(strong|weak),itemType,speakerType,derivationStrength,strongRating
0,1,27970,478,0.5004126180840583,0.49958738191594154,critical,native,0.891470588235294,0.10705882352941176
1,2,353973,16094,0.5805067164369647,0.4194932835630353,critical,native,0.8721428571428571,0.12761904761904763
2,3,20399,1310,0.5094454138889023,0.49055458611109765,critical,native,0.708048780487805,0.29170731707317077
3,4,44649,3226,0.5300443783025729,0.46995562169742705,critical,native,0.7084375,0.29125
4,5,227169,17482,0.5997343864598158,0.40026561354018414,critical,native,0.5519512195121952,0.4480487804878049
5,6,236577,19818,0.6085048569639686,0.3914951430360314,critical,native,0.7142499999999999,0.28425
6,7,175611,2287,0.50735211392894,0.49264788607105997,critical,native,0.5733333333333334,0.4262222222222222
7,8,13963,400,0.500437923640964,0.499562076359036,critical,native,0.6921739130434783,0.3067391304347826
8,9,51669,1343,0.5047105257745992,0.4952894742254009,critical,native,0.6431428571428571,0.3565714285714286
9,10,54601,400,0.5001333825267734,0.49986661747322664,critical,native,0.6894736842105263,0.31026315789473685
10,11,14826,1485,0.5172020295999987,0.4827979704000013,critical,native,0.5119148936170212,0.487872340425532
11,12,10324,890,0.5073563469945123,0.49264365300548785,critical,native,0.42200000000000004,0.578
12,13,21485,2681,0.538732366326434,0.4612676336735661,critical,native,0.05421052631578948,0.9428947368421052
13,14,55901,7247,0.5802389485859492,0.4197610514140508,critical,native,0.7148571428571429,0.2851428571428572
14,15,185463,863,0.5007397901335869,0.4992602098664131,critical,native,0.5163157894736842,0.4836842105263158
15,16,10752,680,0.5032878762510851,0.4967121237489149,critical,native,0.5537037037037037,0.4425925925925926
16,17,768232,511027,0.777630775636023,0.22236922436397702,unambiguous,native,0.9989743589743589,0.000512820512820512
17,18,44673,47622,0.7985222569929659,0.20147774300703414,unambiguous,native,0.9995454545454544,0.000227272727272727
18,19,463566,103621,0.7115936278513729,0.28840637214862713,unambiguous,native,0.9915,0.00425
19,20,400,725,0.9527686183983234,0.04723138160167658,unambiguous,native,0.9985714285714287,0.001142857142857142
20,21,795534,2436,0.5048069084181445,0.4951930915818554,unambiguous,native,1.0,0.0
21,22,5117,1420,0.5555600818796254,0.4444399181203747,unambiguous,native,1.0,0.0
22,23,77547,13820,0.6265479238043723,0.37345207619562754,unambiguous,native,0.9852941176470589,0.0
23,24,87427,39967,0.7275443097442085,0.27245569025579147,unambiguous,native,0.9910810810810813,0.008918918918918918
24,25,22452,66217,0.8831828241911563,0.11681717580884364,unambiguous,native,1.0,0.0
25,26,1965,44673,0.9939182965214223,0.006081703478577846,unambiguous,native,1.0,0.0
26,27,24184,55111,0.8652914219615623,0.1347085780384377,unambiguous,native,0.9994594594594597,0.00027027027027027
27,28,24873,27952,0.8052088213564133,0.1947911786435868,unambiguous,native,0.9995238095238096,0.00023809523809523801
28,29,10976,160011,0.9595659134467526,0.04043408655324749,unambiguous,native,0.9994871794871795,0.000256410256410256
29,30,426,150646,0.9999540256343056,4.597436569438479e-05,unambiguous,native,0.9995555555555556,0.000222222222222222
30,31,431,10771,0.9996182302770705,0.00038176972292937333,unambiguous,native,1.0,0.0
31,32,11849,1124,0.5114258302213984,0.48857416977860146,unambiguous,native,0.9994871794871795,0.000256410256410256
