,itemId,p(weak|weak),itemType,speakerType,derivationStrength,strongRating
0,1,0.7577120028934756,critical,native,0.891470588235294,0.10705882352941176
1,2,0.783566139738949,critical,native,0.8721428571428571,0.12761904761904763
2,3,0.7727112517097695,critical,native,0.708048780487805,0.29170731707317077
3,4,0.778390054973702,critical,native,0.7084375,0.29125
4,5,0.7847914126835032,critical,native,0.5519512195121952,0.4480487804878049
5,6,0.785290441592471,critical,native,0.7142499999999999,0.28425
6,7,0.7715022471756954,critical,native,0.5733333333333334,0.4262222222222222
7,8,0.7579966182500725,critical,native,0.6921739130434783,0.3067391304347826
8,9,0.7693620414139751,critical,native,0.6431428571428571,0.3565714285714286
9,10,0.7523110233339128,critical,native,0.6894736842105263,0.31026315789473685
10,11,0.775626927200746,critical,native,0.5119148936170212,0.487872340425532
11,12,0.7715050202870009,critical,native,0.42200000000000004,0.578
12,13,0.7796764146723192,critical,native,0.05421052631578948,0.9428947368421052
13,14,0.7835474974494857,critical,native,0.7148571428571429,0.2851428571428572
14,15,0.7605035306791034,critical,native,0.5163157894736842,0.4836842105263158
15,16,0.767638300152844,critical,native,0.5537037037037037,0.4425925925925926
