,itemId,p(weak|weak),itemType,speakerType,derivationStrength,strongRating
0,1,0.5004126180840583,critical,native,0.891470588235294,0.10705882352941176
1,2,0.5805067164369647,critical,native,0.8721428571428571,0.12761904761904763
2,3,0.5094454138889023,critical,native,0.708048780487805,0.29170731707317077
3,4,0.5300443783025729,critical,native,0.7084375,0.29125
4,5,0.5997343864598158,critical,native,0.5519512195121952,0.4480487804878049
5,6,0.6085048569639686,critical,native,0.7142499999999999,0.28425
6,7,0.50735211392894,critical,native,0.5733333333333334,0.4262222222222222
7,8,0.500437923640964,critical,native,0.6921739130434783,0.3067391304347826
8,9,0.5047105257745992,critical,native,0.6431428571428571,0.3565714285714286
9,10,0.5001333825267734,critical,native,0.6894736842105263,0.31026315789473685
10,11,0.5172020295999987,critical,native,0.5119148936170212,0.487872340425532
11,12,0.5073563469945123,critical,native,0.42200000000000004,0.578
12,13,0.538732366326434,critical,native,0.05421052631578948,0.9428947368421052
13,14,0.5802389485859492,critical,native,0.7148571428571429,0.2851428571428572
14,15,0.5007397901335869,critical,native,0.5163157894736842,0.4836842105263158
15,16,0.5032878762510851,critical,native,0.5537037037037037,0.4425925925925926
16,17,0.777630775636023,unambiguous,native,0.9989743589743589,0.000512820512820512
17,18,0.7985222569929659,unambiguous,native,0.9995454545454544,0.000227272727272727
18,19,0.7115936278513729,unambiguous,native,0.9915,0.00425
19,20,0.9527686183983234,unambiguous,native,0.9985714285714287,0.001142857142857142
20,21,0.5048069084181445,unambiguous,native,1.0,0.0
21,22,0.5555600818796254,unambiguous,native,1.0,0.0
22,23,0.6265479238043723,unambiguous,native,0.9852941176470589,0.0
23,24,0.7275443097442085,unambiguous,native,0.9910810810810813,0.008918918918918918
24,25,0.8831828241911563,unambiguous,native,1.0,0.0
25,26,0.9939182965214223,unambiguous,native,1.0,0.0
26,27,0.8652914219615623,unambiguous,native,0.9994594594594597,0.00027027027027027
27,28,0.8052088213564133,unambiguous,native,0.9995238095238096,0.00023809523809523801
28,29,0.9595659134467526,unambiguous,native,0.9994871794871795,0.000256410256410256
29,30,0.9999540256343056,unambiguous,native,0.9995555555555556,0.000222222222222222
30,31,0.9996182302770705,unambiguous,native,1.0,0.0
31,32,0.5114258302213984,unambiguous,native,0.9994871794871795,0.000256410256410256
