,itemId,p(weak|weak),itemType,speakerType,derivationStrength,strongRating
0,1,0.5002787205930448,critical,native,0.891470588235294,0.10705882352941176
1,2,0.5736449605404175,critical,native,0.8721428571428571,0.12761904761904763
2,3,0.5075596284689311,critical,native,0.708048780487805,0.29170731707317077
3,4,0.5257516474263421,critical,native,0.7084375,0.29125
4,5,0.5926260368474252,critical,native,0.5519512195121952,0.4480487804878049
5,6,0.601381883841417,critical,native,0.7142499999999999,0.28425
6,7,0.5058017014505332,critical,native,0.5733333333333334,0.4262222222222222
7,8,0.5002967492773032,critical,native,0.6921739130434783,0.3067391304347826
8,9,0.5036264415660231,critical,native,0.6431428571428571,0.3565714285714286
9,10,0.5000848736697605,critical,native,0.6894736842105263,0.31026315789473685
10,11,0.5142537665833681,critical,native,0.5119148936170212,0.487872340425532
11,14,0.5733829156872307,critical,native,0.7148571428571429,0.2851428571428572
12,15,0.5005154569768208,critical,native,0.5163157894736842,0.4836842105263158
13,16,0.5024818881920553,critical,native,0.5537037037037037,0.4425925925925926
