alpha,beta,r_val,p_value
0.7,8e-06,0.5627954056114282,0.0007990063232950128
0.7,6e-06,0.5668679760796389,0.0007176039024768638
0.7,7e-06,0.5647205598070525,0.0007595663323858085
0.9,8e-06,0.5804109068781763,0.0004969193916796342
0.9,6e-06,0.5837209342711431,0.0004531197724660713
0.9,7e-06,0.5820244568881958,0.0004751217715050802
1.1,8e-06,0.5939646784145327,0.0003384034121682839
1.1,6e-06,0.5961874854012621,0.0003172196529910777
1.1,7e-06,0.5951006590447048,0.000327425579951431
1.3,8e-06,0.6043366465497169,0.0002492612633338125
1.3,6e-06,0.6054471619876582,0.00024108255648044237
1.3,7e-06,0.6049726462316274,0.0002445475985768738
1.5,8e-06,0.6123603852561763,0.00019532051445488277
1.5,6e-06,0.6124333478755026,0.00019488197177712686
1.5,7e-06,0.6125237391419321,0.00019433989028537672
