,itemId,weak_freq,strong_freq,p(weak|weak),p(strong|weak),itemType,speakerType,derivationStrength,strongRating
0,1,27970,478,0.5009496254811506,0.49905037451884926,critical,nonnative,0.6911363636363635,0.2988636363636364
1,2,353973,16094,0.5967973438654118,0.40320265613458817,critical,nonnative,0.9111111111111111,0.08833333333333333
2,3,20399,1310,0.5151127486787196,0.4848872513212805,critical,nonnative,0.4275675675675676,0.571081081081081
3,4,44649,3226,0.5414776854670981,0.4585223145329019,critical,nonnative,0.7026086956521739,0.29739130434782607
4,5,227169,17482,0.6161831436293468,0.3838168563706531,critical,nonnative,0.5321621621621622,0.4648648648648648
5,6,236577,19818,0.6248240919903156,0.37517590800968437,critical,nonnative,0.7213157894736842,0.27421052631578946
6,7,175611,2287,0.5121270647652351,0.48787293523476505,critical,nonnative,0.44333333333333336,0.5566666666666665
7,8,13963,400,0.501001104761256,0.49899889523874397,critical,nonnative,0.69375,0.3059375
8,9,51669,1343,0.5081942749309141,0.491805725069086,critical,nonnative,0.6488372093023256,0.3511627906976744
9,10,54601,400,0.5003486483847897,0.4996513516152104,critical,nonnative,0.55725,0.41775
10,11,14826,1485,0.5255400514617719,0.4744599485382282,critical,nonnative,0.5312903225806452,0.46741935483870967
11,12,10324,890,0.5121332040619845,0.48786679593801563,critical,nonnative,0.6384848484848485,0.36
12,13,21485,2681,0.5516651187302416,0.44833488126975835,critical,nonnative,0.03725,0.9542499999999999
13,14,55901,7247,0.596522510465116,0.40347748953488394,critical,nonnative,0.7132558139534884,0.2632558139534884
14,15,185463,863,0.5015936075398107,0.4984063924601893,critical,nonnative,0.69125,0.3085
15,16,10752,680,0.5059664726549034,0.4940335273450966,critical,nonnative,0.44,0.5596078431372549
16,17,768232,511027,0.779354271750248,0.22064572824975207,unambiguous,nonnative,1.0,0.0
17,18,44673,47622,0.7978936860697969,0.20210631393020306,unambiguous,nonnative,1.0,0.0
18,19,463566,103621,0.7206192792335706,0.27938072076642934,unambiguous,nonnative,0.9552631578947368,0.002631578947368421
19,20,400,725,0.9427612245884663,0.057238775411533695,unambiguous,nonnative,0.9755813953488373,0.02372093023255814
20,21,795534,2436,0.5083419119411122,0.49165808805888783,unambiguous,nonnative,0.9994594594594597,0.00027027027027027
21,22,5117,1420,0.5704755047323026,0.4295244952676973,unambiguous,nonnative,0.9995121951219512,0.00024390243902439
22,23,77547,13820,0.6422740235688927,0.35772597643110715,unambiguous,nonnative,0.975681818181818,0.000227272727272727
23,24,87427,39967,0.7348822763053046,0.2651177236946955,unambiguous,nonnative,0.9763414634146342,0.022195121951219515
24,25,22452,66217,0.8745288091745272,0.12547119082547273,unambiguous,nonnative,0.9995121951219512,0.00024390243902439
25,26,1965,44673,0.9904897958000386,0.009510204199961328,unambiguous,nonnative,0.9995121951219512,0.00024390243902439
26,27,24184,55111,0.857989868787138,0.14201013121286193,unambiguous,nonnative,1.0,0.0
27,28,24873,27952,0.8038409867812568,0.19615901321874316,unambiguous,nonnative,1.0,0.0
28,29,10976,160011,0.9499897656139552,0.05001023438604485,unambiguous,nonnative,1.0,0.0
29,30,426,150646,0.9998746741743435,0.00012532582565647594,unambiguous,nonnative,1.0,0.0
30,31,431,10771,0.9991797750232105,0.0008202249767894242,unambiguous,nonnative,0.9994594594594597,0.00027027027027027
31,32,11849,1124,0.5178581944051744,0.48214180559482545,unambiguous,nonnative,1.0,0.0
