,itemId,p(weak|weak),itemType,speakerType,derivationStrength,strongRating
0,1,0.5009496254811506,critical,nonnative,0.6911363636363635,0.2988636363636364
1,2,0.5967973438654118,critical,nonnative,0.9111111111111111,0.08833333333333333
2,3,0.5151127486787196,critical,nonnative,0.4275675675675676,0.571081081081081
3,4,0.5414776854670981,critical,nonnative,0.7026086956521739,0.29739130434782607
4,5,0.6161831436293468,critical,nonnative,0.5321621621621622,0.4648648648648648
5,6,0.6248240919903156,critical,nonnative,0.7213157894736842,0.27421052631578946
6,7,0.5121270647652351,critical,nonnative,0.44333333333333336,0.5566666666666665
7,8,0.501001104761256,critical,nonnative,0.69375,0.3059375
8,9,0.5081942749309141,critical,nonnative,0.6488372093023256,0.3511627906976744
9,10,0.5003486483847897,critical,nonnative,0.55725,0.41775
10,11,0.5255400514617719,critical,nonnative,0.5312903225806452,0.46741935483870967
11,12,0.5121332040619845,critical,nonnative,0.6384848484848485,0.36
12,13,0.5516651187302416,critical,nonnative,0.03725,0.9542499999999999
13,14,0.596522510465116,critical,nonnative,0.7132558139534884,0.2632558139534884
14,15,0.5015936075398107,critical,nonnative,0.69125,0.3085
15,16,0.5059664726549034,critical,nonnative,0.44,0.5596078431372549
16,17,0.779354271750248,unambiguous,nonnative,1.0,0.0
17,18,0.7978936860697969,unambiguous,nonnative,1.0,0.0
18,19,0.7206192792335706,unambiguous,nonnative,0.9552631578947368,0.002631578947368421
19,20,0.9427612245884663,unambiguous,nonnative,0.9755813953488373,0.02372093023255814
20,21,0.5083419119411122,unambiguous,nonnative,0.9994594594594597,0.00027027027027027
21,22,0.5704755047323026,unambiguous,nonnative,0.9995121951219512,0.00024390243902439
22,23,0.6422740235688927,unambiguous,nonnative,0.975681818181818,0.000227272727272727
23,24,0.7348822763053046,unambiguous,nonnative,0.9763414634146342,0.022195121951219515
24,25,0.8745288091745272,unambiguous,nonnative,0.9995121951219512,0.00024390243902439
25,26,0.9904897958000386,unambiguous,nonnative,0.9995121951219512,0.00024390243902439
26,27,0.857989868787138,unambiguous,nonnative,1.0,0.0
27,28,0.8038409867812568,unambiguous,nonnative,1.0,0.0
28,29,0.9499897656139552,unambiguous,nonnative,1.0,0.0
29,30,0.9998746741743435,unambiguous,nonnative,1.0,0.0
30,31,0.9991797750232105,unambiguous,nonnative,0.9994594594594597,0.00027027027027027
31,32,0.5178581944051744,unambiguous,nonnative,1.0,0.0
