alpha,beta,r_val,p_value
0.7,9e-06,0.5890884451977401,0.0003893242372610402
0.7,1e-05,0.5879085830906927,0.00040262089116674594
0.7,1.1e-05,0.5868225381036439,0.00041521407661989013
0.9,9e-06,0.6050137598155626,0.00024424563377669527
0.9,1e-05,0.6040253130945104,0.00025159799808911905
0.9,1.1e-05,0.6030740014204734,0.00025885925898848247
1.1,9e-06,0.617331410496287,0.0001673729028307017
1.1,1e-05,0.6166782154051575,0.0001708290735391418
1.1,1.1e-05,0.6160032696327382,0.00017446702671192844
1.3,9e-06,0.6267485944746205,0.00012401829561425027
1.3,1e-05,0.6264577970537138,0.0001251899646516504
1.3,1.1e-05,0.626092841574931,0.00012667441537513402
1.5,9e-06,0.6340096585611641,9.776226269053277e-05
1.5,1e-05,0.6340657652407318,9.758042890341365e-05
1.5,1.1e-05,0.6340029512313299,9.778402046888075e-05
