alpha,beta,r_val
1.1,1e-05,-0.3323598517007499
1.1,3e-05,-0.33235985608254237
1.1,5e-05,-0.3323598604643367
1.1,7e-05,-0.3323598648461284
1.1,9e-05,-0.33235986922792055
1.1,0.00011,-0.3323598736097124
1.1,0.00013,-0.3323598779915063
1.1,0.00015,-0.33235988237329867
1.1,0.00017,-0.3323598867550903
1.1,0.00019,-0.3323598911368837
1.3,1e-05,-0.3518071109816865
1.3,3e-05,-0.3518071157611164
1.3,5e-05,-0.35180712054054775
1.3,7e-05,-0.35180712531997793
1.3,9e-05,-0.35180713009940867
1.3,0.00011,-0.35180713487883736
1.3,0.00013,-0.35180713965827015
1.3,0.00015,-0.3518071444377018
1.3,0.00017,-0.35180714921712913
1.3,0.00019,-0.35180715399655993
1.5,1e-05,-0.3679919692070387
1.5,3e-05,-0.36799197437299425
1.5,5e-05,-0.36799197953895046
1.5,7e-05,-0.3679919847049078
1.5,9e-05,-0.3679919898708629
1.5,0.00011,-0.3679919950368209
1.5,0.00013,-0.36799200020277584
1.5,0.00015,-0.3679920053687311
1.5,0.00017,-0.36799201053468605
1.5,0.00019,-0.3679920157006392
